id	filename	md5	size	state
307d1780-77ef-43b2-8010-414c2ed9e72d	71d0b85c-4b4e-45b8-af0c-ca264d05df4c.FPKM.txt.gz	3913c943358e369615c59492f31c6e47	563065	released
5ff29111-8faa-4d9b-899a-1c2bc5aaddfb	6a5dd3ed-c946-461c-a98e-c19e73ba3ef6.FPKM.txt.gz	99063d3dfe80037a31b9a449bbf0080e	540565	released
3e1eafa8-9151-4e8d-93e5-6548d405bdc9	bd913ca5-5a50-4fe1-b8d1-199c76d821fa.FPKM.txt.gz	147cae1168bafd7a3d76942abf06cd7d	509879	released
708858da-7ae9-4641-ad97-8bd7503ec97f	501305ad-7e26-4d47-9f95-58273208e921.htseq.counts.gz	938294ee0a3ccc2daec33defeab91565	262066	released
2ef43153-614e-4602-89dd-72618863d523	f50cea78-2214-43d9-bf72-931d352eeedb.htseq.counts.gz	c2006ebaf71306a616ce43a3c7c1cab1	258394	released
7c564146-979c-4b3d-9a0d-b9a1e0d07ca2	3cf30990-870d-45cd-8a59-5873615c160c_gdc_realn_rehead.bam	b99d9218a0f82d353a17e391594a566d	21822260650	released
e17580ca-3612-4d9a-aca6-04aa3a1101a6	3c79dcc6-cf47-44b7-88a1-561fb66c68a0.FPKM-UQ.txt.gz	6a2306712c6815119efbac657af4fd86	595766	released
df04cbff-0943-43de-a2d5-e46b34526e98	18ac8907-2d00-441f-82ec-2255814e3f5c.htseq.counts.gz	308c4ca17ecf25efb74a86aa89e6e902	260130	released
4ff0a9d8-fc27-49c0-9216-fc63cde6ea7b	c2827d52-b38d-4004-8730-d3769b891187.FPKM.txt.gz	809b15098b34d32a17eaeeda2e448f0b	568848	released
592bd84c-aeda-40e3-b0fd-77c71fd1c45f	fd08169b-d14b-4f73-858e-6152cd40fba3.htseq.counts.gz	d4bf7c93ea9bd8ba47125193f7fab64a	250570	released
2c6c68ca-4284-4796-a24c-a37165647aba	4b433fc4-5e9c-4305-960b-e7b43cfbee36.htseq.counts.gz	31c4c8998487b3cfd40e9b798b470eec	266113	released
2b47971f-6b17-4bd9-913c-c4f68bd4b6ab	94af5269-0437-4651-a3ea-dbbf2efdc777.FPKM.txt.gz	66bbd085814478066cb63bcc1465deaf	575620	released
2d2a38eb-7f4d-4846-90ce-90f04887d68b	7c2ec5f8-53be-4d47-a97a-a05f88ae50df_gdc_realn_rehead.bam	f427c560b4ee223a87224091e75e33b5	16843646061	released
e5dfffee-6b55-4a01-9db5-93717379331b	735e66f7-9cbb-4df6-aede-256a36061129_gdc_realn_rehead.bam	7ccf7f36491d5babac0a11d0630d5591	18483970511	released
4d432773-9454-4ee3-97f7-ed971473413f	8a1347e6-3475-48aa-af4a-87b7866c4a85.FPKM-UQ.txt.gz	25b7d3262c74113452007e9ce601264b	530788	released
e259aa31-067f-4848-9973-54948c33e859	5af6a287-b622-4a43-97e2-f40153d89833.htseq.counts.gz	2b4888a222f24852b616b5295e460e3a	259630	released
508c0459-fa4f-4750-ade2-4e1fde1ade5b	38f27b73-8ce2-4e16-aaf3-343ef21221d9_gdc_realn_rehead.bam	a6abf33a92c0d080631fcc5e3be3c931	16183086228	released
a6050a60-101c-4c85-9e7b-7c1be3280a5e	41fcd553-9205-4d41-b38d-046388afbf38_gdc_realn_rehead.bam	1e2574f390e75a03d249a0d2192ef334	21235166179	released
4acc80d2-8da8-45be-950e-7d7b0c1f81e3	37ea2b7c-fd04-4260-8a7d-c05785a77c20_gdc_realn_rehead.bam	21ddf9bdb68da3aa7ff47365b92921da	16741886766	released
b7dc6c0b-61ed-4b1e-9a55-aee09d6915f3	83436e39-a06f-46f0-9450-d8667f1c7683.FPKM-UQ.txt.gz	7c3f0e107d63c1e657b45351327c9491	569597	released
d9cf7dbc-34b4-4580-a8ab-424f1e0f58b2	419ffb86-9d3b-4564-a2b8-c563e542d11d.htseq.counts.gz	0ec7b23f05c3bb62cb9a401565352261	262871	released
0bc20025-8ab2-49b7-903b-fcf4aeb7d269	3c46808e-9330-4d25-9424-45da6154fed6.FPKM.txt.gz	84f38643f01b44bc3037a2b5cb86fd38	541257	released
315fbe17-f654-4dcd-a68b-8923fb9e1b66	df4a2713-4afb-45c7-aaf8-0bf3ea739064_gdc_realn_rehead.bam	c7c3208982c2b51ae5702aa2ffe59595	17967396695	released
42aac496-2f07-49e7-94ca-19d3659c2acf	6410067f-e1a3-40dc-b7d1-2b0dc926b72c.htseq.counts.gz	44fe7519f1b85a3ca208dc007701dbc7	257634	released
2bb4fd99-8cff-4b8b-80db-4f9033fad0f8	01411772-3c6a-494e-9a61-7e96812b785a.htseq.counts.gz	c9930b5167f295f8906e658964226840	269222	released
2ffc9824-5a77-44b1-ae89-e1f3bba1c56d	c8375df3-03d2-43da-a262-718a810031c9_gdc_realn_rehead.bam	cc56349e2aa05e6b00edfdfa847378a6	17747520063	released
ce3b4316-0d8d-4de2-9049-30f332fd8585	0ea2d656-d880-425b-abe7-d1cab827aaf5.FPKM.txt.gz	d678878ca09738bbb068805dfdf06d8a	558213	released
b77ee290-c860-4c8c-a149-a089fa5f67a5	bef94553-3989-43a6-959b-59a4d6e42175.FPKM.txt.gz	d0ada2212472fe35874981c4f704f91c	561342	released
061eb87c-0340-4d44-b22e-86795c0b539d	c72c44df-8109-4088-b763-6c4ec474e375.htseq.counts.gz	067f5073453d1053009ce51a8ea09efb	260920	released
34848e6b-1dac-43c9-9142-6da5605ed08d	ef3ec2b1-fef3-45cf-9193-d8b0e1b8cd19_gdc_realn_rehead.bam	a1951b6811373f69f69ceb8f8411e7d4	14657584675	released
8fdaecd7-86e9-43b0-b540-a17a0e14d06e	2dc7b126-fb19-4d3c-81a8-a49e6157e2b6_gdc_realn_rehead.bam	44fc7217eab393b4f85105966a5ab931	20692140610	released
5daf4aff-4816-4cc6-b9ba-e24ea39b981c	519ea927-4909-4fff-8e19-eea4c2027503_gdc_realn_rehead.bam	64ef5bced81da8681884cace4cd7c9d0	15394096140	released
db3ee9f8-aa85-4c39-af3f-6ec0caaeaa75	93e09fb0-5fed-4747-8816-cc9efa32307f_gdc_realn_rehead.bam	c6837db422f343e07f4fda9b2045142f	20288202471	released
4a495886-548e-46ff-a9a9-590a28447433	acabdb00-fd4b-4a95-9326-140ce8541760.FPKM-UQ.txt.gz	a96bef644b12ca9befb6a2496c07e778	642802	released
9f5e790a-251c-4afe-8c6a-c7202596b98a	e265b57f-ea33-4fed-9fa5-3706d7f6abf0.htseq.counts.gz	59d0d79f70a5f9a555baa088e4a50924	256806	released
421de761-ac2f-4b1e-9c3f-023710b2a522	185b5d95-b5a9-42ca-b063-718a69a48755_gdc_realn_rehead.bam	8ee5d53943ba3231ed66489e8070b11a	20611530236	released
f7811802-d099-42ef-b5bf-2a13432b4383	8d5ca6c8-3174-44e8-8ceb-e97079fa0a93.htseq.counts.gz	c67a71956afc7e77c2e8dbad2298b2b1	256299	released
479657e7-8811-4298-9c43-b38c6ce5d564	3809d8ed-320f-4a1e-a2a3-74210d53cd74.FPKM-UQ.txt.gz	61f30fd4a53ec53a6cf104d3763bf418	566357	released
f1527826-fb72-4e96-865d-b0dfec95abb2	b3113d8e-5469-460e-a143-e51d07c64e48.FPKM-UQ.txt.gz	72600b7a75cb65409c0343e0572e69ee	555679	released
31168dea-9d21-49df-8e40-c466b5d6adfb	c834d297-2f62-4560-ad2d-1d7da0a0e701_gdc_realn_rehead.bam	920053d20146080c8ec451a608a8b95a	23758661527	released
